Name,City,State,Rank,Category
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,95,Overall
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,96,Overall
Acharya Nagarjuna University,Guntur,Andhra Pradesh,97,Overall
Tata Institute of Social Sciences,Mumbai,Maharashtra,98,Overall
All India Institute of Medical Sciences Patna,Patna,Bihar,99,Overall
Periyar University,Salem,Tamil Nadu,100,Overall
Ashoka University,Sonepat,Haryana,101-150,Overall
"Assam University, Silchar",Silchar,Assam,101-150,Overall
Banasthali Vidyapith,Banasthali,Rajasthan,101-150,Overall
Bangalore University,Bengaluru,Karnataka,101-150,Overall
Bharati Vidyapeeth,Pune,Maharashtra,101-150,Overall
Birla Institute of Technology,Ranchi,Jharkhand,101-150,Overall
Calicut University,Malappuram,Kerala,101-150,Overall
Central University of Punjab,Bathinda,Punjab,101-150,Overall
Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,101-150,Overall
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,101-150,Overall
Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,101-150,Overall
Chitkara University,Rajpura,Punjab,101-150,Overall
Dibrugarh University,Dibrugarh,Assam,101-150,Overall
Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,101-150,Overall
G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,101-150,Overall
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,101-150,Overall
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,101-150,Overall
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,101-150,Overall
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,101-150,Overall
Indian Institute of Technology Palakkad,Palakkad,Kerala,101-150,Overall
Indian Institute of Technology Tirupati,YERPEDU,Andhra Pradesh,101-150,Overall
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,101-150,Overall
"Jain University, Bangalore",Bengaluru,Karnataka,101-150,Overall
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,101-150,Overall
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,101-150,Overall
Madurai Kamaraj University,Madurai,Tamil Nadu,101-150,Overall
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,101-150,Overall
Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,101-150,Overall
"Manipal University, Jaipur",Jaipur,Rajasthan,101-150,Overall
"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,101-150,Overall
Mizoram University,Aizawl,Mizoram,101-150,Overall
Mumbai University,Mumbai,Maharashtra,101-150,Overall
National Institute of Technology Patna,Patna,Bihar,101-150,Overall
National Institute of Technology Raipur,Raipur,Chhattisgarh,101-150,Overall
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,101-150,Overall
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,101-150,Overall
NITTE,Mangaluru,Karnataka,101-150,Overall
Pondicherry University,Puducherry,Pondicherry,101-150,Overall
PSG College of Technology,Coimbatore,Tamil Nadu,101-150,Overall
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,101-150,Overall
Sharda University,Greater Noida,Uttar Pradesh,101-150,Overall
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,Puducherry,Pondicherry,101-150,Overall
Sri Venkateswara University,Tirupati,Andhra Pradesh,101-150,Overall
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,101-150,Overall
Tezpur University,Tezpur,Assam,101-150,Overall
University College of Medical Sciences,Delhi,Delhi,101-150,Overall
University of Agricultural Sciences,Bengaluru,Karnataka,101-150,Overall
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,101-150,Overall
Visvesvaraya Technological University,Belgaum,Karnataka,101-150,Overall
Yenepoya University,Mangaluru,Karnataka,101-150,Overall
Acharya N G Ranga Agricultural University,Guntur,Andhra Pradesh,151-200,Overall
Amity University,North Twenty Four Parganas,West Bengal,151-200,Overall
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,151-200,Overall
Annamalai University,Annamalainagar,Tamil Nadu,151-200,Overall
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,Tamil Nadu,151-200,Overall
BLDE,Vijayapura,Karnataka,151-200,Overall
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,151-200,Overall
Central University of Kerala,Kasaragod,Kerala,151-200,Overall
"Chandigarh Engineering College-CGC, Landran, Mohali",Mohali,Punjab,151-200,Overall
Chennai Institute of Technology,Chennai,Tamil Nadu,151-200,Overall
COEP Technological University,Pune,Maharashtra,151-200,Overall
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,151-200,Overall
Dr. Y.S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,151-200,Overall
G. L. A. University,Mathura,Uttar Pradesh,151-200,Overall
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,151-200,Overall
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,151-200,Overall
Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,151-200,Overall
Indian Institute of Science Education and Research Thiruvananthapuram,Thiruvananthapuram,Kerala,151-200,Overall
Integral University,Lucknow,Uttar Pradesh,151-200,Overall
"Kalinga University, Raipur",Raipur,Chhattisgarh,151-200,Overall
Kalyani University,Kalyani,West Bengal,151-200,Overall
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,151-200,Overall
KLE Academy of Higher Education and Research,Belagavi,Karnataka,151-200,Overall
KPR Institute of Engineering and Technology,Coimbatore,Tamil Nadu,151-200,Overall
Krishna Vishwa Vidyapeeth,Karad,Maharashtra,151-200,Overall
Maharshi Dayanand University,Rohtak,Haryana,151-200,Overall
Mangalore University,Mangalore,Karnataka,151-200,Overall
Manipur University,Imphal,Manipur,151-200,Overall
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,151-200,Overall
Mepco Schlenk Engineering College,Sivakasi,Tamil Nadu,151-200,Overall
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,151-200,Overall
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,151-200,Overall
"NIMS University, Jaipur",Jaipur,Rajasthan,151-200,Overall
Noida Institute of Engineering & Technology,Greater Noida,Uttar Pradesh,151-200,Overall
North Eastern Hill University,Shillong,Meghalaya,151-200,Overall
Odisha University of Agriculture and Technology,Khordha,Odisha,151-200,Overall
"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,151-200,Overall
Presidency University,Kolkata,West Bengal,151-200,Overall
PSG Institute of Medical Sciences and Research,Coimbatore,Tamil Nadu,151-200,Overall
Rajalakshmi Engineering College,Chennai,Tamil Nadu,151-200,Overall
Sawai Man Singh Medical College,Jaipur,Rajasthan,151-200,Overall
SR University,Warangal,Telangana,151-200,Overall
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,151-200,Overall
Suresh Gyan Vihar University,Jaipur,Rajasthan,151-200,Overall
University of Burdwan,Bardhaman,West Bengal,151-200,Overall
University of Lucknow,Lucknow,Uttar Pradesh,151-200,Overall
Utkal University,Bhubaneswar,Odisha,151-200,Overall
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,151-200,Overall
Vels Institute of Science Technology and Advanced Studies (VISTAS),Chennai,Tamil Nadu,151-200,Overall
Visva Bharati,Santiniketan,West Bengal,151-200,Overall
"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,1,University
Jawaharlal Nehru University,New Delhi,Delhi,2,University
Jamia Millia Islamia,New Delhi,Delhi,3,University
"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,4,University
Banaras Hindu University,Varanasi,Uttar Pradesh,5,University
University of Delhi,Delhi,Delhi,6,University
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,7,University
