Name,City,State,Rank,Category
Arulmigu Kalasalingam College of Pharmacy,Srivilliputtur,Tamil Nadu,82,Pharmacy
Sri Adichunchanagiri College of Pharmacy,B G Nagar,Karnataka,83,Pharmacy
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,84,Pharmacy
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Prayagraj,Uttar Pradesh,85,Pharmacy
Acharya & B M Reddy College of Pharmacy,Bengaluru,Karnataka,86,Pharmacy
Vishnu Institute of Pharmaceutical Education and Research,Narsapur,Telangana,87,Pharmacy
Kakatiya University,"Hanamkonda, Warangal",Telangana,88,Pharmacy
Vinayaka Mission's Research Foundation,Salem,Tamil Nadu,89,Pharmacy
Ramanbhai Patel College of Pharmacy,Anand,Gujarat,90,Pharmacy
"Uka Tarsadia University, Bardoli",Bardoli,Gujarat,91,Pharmacy
Shri Vishnu College of Pharmacy,Bhimavaram,Andhra Pradesh,92,Pharmacy
Goa College of Pharmacy,Panaji,Goa,93,Pharmacy
Dr. B. C. Roy College of Pharmacy and Allied Health Sciences,Durgapur,West Bengal,94,Pharmacy
CMR College of Pharmacy,Rangareddy,Telangana,95,Pharmacy
P. E. Society`s Modern College of Pharmacy,Pune,Maharashtra,96,Pharmacy
Principal K.M. Kundnani College of Pharmacy,Mumbai,Maharashtra,97,Pharmacy
Krupanidhi College of Pharmacy,Bengaluru,Karnataka,98,Pharmacy
AISSMS College of Pharmacy,Pune,Maharashtra,99,Pharmacy
"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",Rohtak,Haryana,100,Pharmacy
Assam Down Town University,Guwahati,Assam,101-150,Pharmacy
"Bharati Vidyapeeth's College of Pharmacy, Sector 8, C.B.D. Belapur, Navi Mumbai",Navi Mumbai,Maharashtra,101-150,Pharmacy
C.U.Shah College of Pharmacy,Mumbai,Maharashtra,101-150,Pharmacy
Chatrapati Sahuji Maharaj Kanpur University,Kanpur,Uttar Pradesh,101-150,Pharmacy
Dadasaheb Balpande College of Pharmacy,Nagpur,Maharashtra,101-150,Pharmacy
Dharmsinh Desai University,Nadiad,Gujarat,101-150,Pharmacy
G. D. Goenka University,Gurgaon,Haryana,101-150,Pharmacy
Ganpat University,"Ganpat Vidyanagar, Mehsana",Gujarat,101-150,Pharmacy
Girijananda Chowdhury Institute of Pharmaceutical Science,Guwahati,Assam,101-150,Pharmacy
Glocal University,Saharanpur,Uttar Pradesh,101-150,Pharmacy
Gokaraju Rangaraju College of Pharmacy,Hyderabad,Telangana,101-150,Pharmacy
IES Institute of Pharmacy,Bhopal,Madhya Pradesh,101-150,Pharmacy
IFTM University,Moradabad,Uttar Pradesh,101-150,Pharmacy
JIS University,Kolkata,West Bengal,101-150,Pharmacy
KLE College of Pharmacy,Bengaluru,Karnataka,101-150,Pharmacy
"KLE College of Pharmacy, Hubli",Hubballi,Karnataka,101-150,Pharmacy
KMCH College of Pharmacy,Coimbatore,Tamil Nadu,101-150,Pharmacy
Kurukshetra University,Kurukshetra,Haryana,101-150,Pharmacy
"Lloyd Institute of Management and Technology, Greater Noida",Greater Noida,Uttar Pradesh,101-150,Pharmacy
"Mahatama Jyotiba Phule Rohikhand University, Bareilly",Bareilly,Uttar Pradesh,101-150,Pharmacy
Malla Reddy College of Pharmacy,Secunderabad,Telangana,101-150,Pharmacy
Marathwada Mitra Mandal?s College of Pharmacy,Pune,Maharashtra,101-150,Pharmacy
Raghavendra Institute of Pharmaceuatical Education & Research,Anantapuramu,Andhra Pradesh,101-150,Pharmacy
Sri Venkateswara University,Tirupati,Andhra Pradesh,101-150,Pharmacy
Uttar Pradesh University of Medical Sciences,Etawah,Uttar Pradesh,101-150,Pharmacy
