Name,City,State,Rank,Category
Christ College (Autonomous),Thrissur,Kerala,101-150,College
College of Social Work Nirmala Niketan 38 New Marine Lines Mumbai - 400 020,Mumbai,Maharashtra,101-150,College
D.A.V.College,Chandigarh- (U.T),Chandigarh,101-150,College
"Devamatha College, Kuravilangad-686633",Kottayam,Kerala,101-150,College
DG Vaishnav College,Chennai,Tamil Nadu,101-150,College
"Farook College, Kozhikkode",Kozhikode,Kerala,101-150,College
Fatima College,Madurai,Tamil Nadu,101-150,College
Government Arts College,Salem,Tamil Nadu,101-150,College
"Government Bikram College of Commerce, Patiala",Patiala,Punjab,101-150,College
Government Brennen College,Kannur,Kerala,101-150,College
"Government College, Attingal",Thiruvananthapuram,Kerala,101-150,College
"Govt. Arts & Science College, Meenchanda",Kozhikode,Kerala,101-150,College
"Govt. College, Nattakom, Kottayam-686013",Kottayam,Kerala,101-150,College
Hindusthan College of Arts and Science,Coimbatore,Tamil Nadu,101-150,College
Holy Cross College,Nagercoil,Tamil Nadu,101-150,College
I.C. College of Community Science,Hisar,Haryana,101-150,College
Indraprastha College for Women,Delhi,Delhi,101-150,College
Kamaraj College,Thoothukkudi,Tamil Nadu,101-150,College
Lady Doak College,Madurai,Tamil Nadu,101-150,College
Madura College,Madurai,Tamil Nadu,101-150,College
Mahatma Gandhi Government Arts College,Mahe,Pondicherry,101-150,College
Mehr Chand Mahajan D.A.V. College for Women,Chandigarh,Chandigarh,101-150,College
N. G. M. College,Pollachi,Tamil Nadu,101-150,College
Nehru Arts and Science College,Coimbatore,Tamil Nadu,101-150,College
"Nizam College, Basheerbagh",Hyderabad,Telangana,101-150,College
Patkai Christian College,Dimapur,Nagaland,101-150,College
Patna Women's College,Patna,Bihar,101-150,College
Prince Shri Venkateshwara Arts and Science College,Chennai,Tamil Nadu,101-150,College
"PSMO College, Thirurangadi",Malappuram,Kerala,101-150,College
Raja Narendra Lal Khan Women's College - Autonomous,Midnapore,West Bengal,101-150,College
"Rajah Serfoji Government College, Thanjavur - 613 005",Thanjavur,Tamil Nadu,101-150,College
Rajdhani College,West,Delhi,101-150,College
"Sarah Tucker College, Perumalpuram, Palayamkottai - 627 011",Tirunelveli,Tamil Nadu,101-150,College
SDNB Vaishnav College,Chennai,Tamil Nadu,101-150,College
Shaheed Bhagat Singh College,New Delhi,Delhi,101-150,College
Shaheed Bhagat Singh College (Evening),Delhi,Delhi,101-150,College
Shaheed Sukhdev College of Business Studies,New Delhi,Delhi,101-150,College
Shri M. V. & Smt. N. V. Virani Science College,Rajkot,Gujarat,101-150,College
Shyam Lal College,Delhi,Delhi,101-150,College
Sri Aurobindo College,South,Delhi,101-150,College
Sri Guru Tegh Bahadur Khalsa College,Delhi,Delhi,101-150,College
Sri Krishna Adithya College of Arts and Science,Coimbatore,Tamil Nadu,101-150,College
Sri Sarada College for Women (Autonomous),Salem,Tamil Nadu,101-150,College
St. Francis College for Women,Hyderabad,Telangana,101-150,College
St. Xavier's College,Ahmedabad,Gujarat,101-150,College
Union Christian College,Ernakulam,Kerala,101-150,College
Vellalar College for Women,Erode,Tamil Nadu,101-150,College
"Women's Christian College, Nagercoil - 629 001",Nagercoil,Tamil Nadu,101-150,College
Ahmednagar Jilha Maratha Vidya Prasarak Samaj`s New Arts Commerce & Science College,Ahmednagar,Maharashtra,151-200,College
Anna Adarsh College for Women,Chennai,Tamil Nadu,151-200,College
Aryabhatta College,Delhi,Delhi,151-200,College
"Baselius College, Kottayam-686 001",Kottayam,Kerala,151-200,College
Bharathi Womens College,Chennai,Tamil Nadu,151-200,College
"Bhavans Vivekananda College of Science, Humanities and Commerce",SECUNDERABAD,Telangana,151-200,College
Bon Secours College for Women,Thanjavur,Tamil Nadu,151-200,College
C.Abdul Hakeem College,Melvisharam,Tamil Nadu,151-200,College
Catholicate College,Pathanamthitta,Kerala,151-200,College
"Cauvery College for Women, Annamalai Nagar, Tiruchirappalli - 620 018",Tiruchirappalli,Tamil Nadu,151-200,College
Dempo Charities Trust Dhempe College of Arts & Science,PANAJI,Goa,151-200,College
"Government College for Women, Kumbakonam",KUMBAKONAM - 612 001,Tamil Nadu,151-200,College
"Government College for Women, Parade Ground , Jammu",Jammu & Kashmir,Jammu and Kashmir,151-200,College
"Govt.College, Nedumangad",Thiruvananthapuram,Kerala,151-200,College
Indira Gandhi College of Arts   and Science,Puducherry,Pondicherry,151-200,College
Justice Basher Ahmed Sayeed College for Women,Chennai,Tamil Nadu,151-200,College
Kalindi College,Delhi,Delhi,151-200,College
Kumaraguru college of Liberal Arts and Science,Coimbatore,Tamil Nadu,151-200,College
Kunthavai Naacchiyaar Government Arts College for Women,Thanjavur,Tamil Nadu,151-200,College
Loreto College,Kolkata,West Bengal,151-200,College
Maharaja Surajmal Institute,West,Delhi,151-200,College
"Marian College, Kuttikanam P.O. Peermade-685 531",Kuttikanam,Kerala,151-200,College
Mata Sundri College for Women,New Delhi,Delhi,151-200,College
Mercy College,Palakkad,Kerala,151-200,College
"MG College, Thiruvananthapuram",Thiruvananthapuram,Kerala,151-200,College
MOP Vaishnav College for Women,Chennai,Tamil Nadu,151-200,College
Mount Carmel College (Autonomous),Bengaluru,Karnataka,151-200,College
Nehru Arts & Science College,Kasaragod,Kerala,151-200,College
Nirmala College for Women,Coimbatore,Tamil Nadu,151-200,College
"Nirmala College, Muvattupuzha - 686 661",Ernakulam,Kerala,151-200,College
Nirmalagiri College,Kannur,Kerala,151-200,College
"Payyannur College, Payyannur,PO-Edat",Payyanur,Kerala,151-200,College
PGDAV College,New Delhi,Delhi,151-200,College
Ponda Education Society Shri Ravi S. Naik College of Arts and Science,North Goa,Goa,151-200,College
Rathinam College of Arts and Science,Coimbatore,Tamil Nadu,151-200,College
"S.T. Hindu College, Nagercoil - 629 002",Nagercoil,Tamil Nadu,151-200,College
Satyawati College,DELHI,Delhi,151-200,College
"Sree Kerala Varma College, Thrissur",Thrissur,Kerala,151-200,College
"Sree Narayana College, Kollam",Kollam,Kerala,151-200,College
"Sree Neelakanda Govt. Sanskrit College, Pattambi",Palakkad,Kerala,151-200,College
Sri Nehru Maha Vidyalaya College of Arts and Science,Coimbatore,Tamil Nadu,151-200,College
Sri Ramakrishna College of Arts & Science for Women,Coimbatore,Tamil Nadu,151-200,College
St. Ann`s College for Women,HYDERABAD,Telangana,151-200,College
"St. Joseph's College for Women, Alappuzha",Alappuzha,Kerala,151-200,College
"St. Xavier's College for Women, Aluva - 683 101",Aluva,Kerala,151-200,College
"Sullamussalam Science College, Areakkode",Areekode,Kerala,151-200,College
Thanthai Periyar Government Arts and Science College (Autonomous),Tiruchirappalli,Tamil Nadu,151-200,College
The New College,Chennai,Tamil Nadu,151-200,College
Thiruvalluvar Government Arts College,Namakkal,Tamil Nadu,151-200,College
