Name,City,State,Rank,Category
Jadavpur University,Kolkata,West Bengal,24,University
Banaras Hindu University,Varanasi,Uttar Pradesh,6,University
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,5,University
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,3,University
Vellore Institute of Technology,Vellore,Tamil Nadu,129,University
Aligarh Muslim University,Aligarh,Uttar Pradesh,20,University
University of Hyderabad,Hyderabad,Telangana,13,University
University of Delhi,Delhi,Delhi,196,University
Calcutta University,Kolkata,West Bengal,31,University
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,15,University
Anna University,Chennai,Tamil Nadu,122,University
Siksha `O` Anusandhan,Bhubaneswar,Odisha,16,University
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,17,University
Homi Bhabha National Institute,Mumbai,Maharashtra,4,University
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,70,University
Savitribai Phule Pune University,Pune,Maharashtra,78,University
Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,69,University
Bharathiar University,Coimbatore,Tamil Nadu,56,University
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,66,University
Institute of Chemical Technology,Mumbai,Maharashtra,120,University
Kerala University,Thiruvananthapuram,Kerala,30,University
Panjab University,Chandigarh,Chandigarh,165,University
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,49,University
Chandigarh University,Mohali,Punjab,53,University
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,64,University
Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,58,University
Alagappa University,Karaikudi,Tamil Nadu,73,University
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,35,University
Symbiosis International,Pune,Maharashtra,25,University
University of Kashmir,Srinagar,Jammu and Kashmir,10,University
JSS Academy of Higher Education and Research,Mysuru,Karnataka,22,University
Amity University,Gautam Budh Nagar,Uttar Pradesh,188,University
Osmania University,Hyderabad,Telangana,104,University
Cochin University of Science and Technology,Cochin,Kerala,60,University
Lovely Professional University,Phagwara,Punjab,127,University
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,29,University
Delhi Technological University,New Delhi,Delhi,95,University
Bharathidasan University,Tiruchirappalli,Tamil Nadu,111,University
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,86,University
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,136,University
Mysore University,Mysuru,Karnataka,27,University
King George`s Medical University,Lucknow,Uttar Pradesh,9,University
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,10,University
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,14,University
Guru Nanak Dev University,Amritsar,Punjab,133,University
Jamia Hamdard,New Delhi,Delhi,126,University
University of Madras,Chennai,Tamil Nadu,41,University
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,147,University
UPES,Dehradun,Uttarakhand,107,University
Madurai Kamaraj University,Madurai,Tamil Nadu,54,University
"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,12,University
Graphic Era University,Dehradun,Uttarakhand,114,University
Mumbai University,Mumbai,Maharashtra,123,University
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,21,University
Banasthali Vidyapith,Banasthali,Rajasthan,171,University
Periyar University,Salem,Tamil Nadu,143,University
Sri Venkateswara University,Tirupati,Andhra Pradesh,80,University
Gujarat University,Ahmedabad,Gujarat,40,University
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,37,University
University of Jammu,Jammu,Jammu and Kashmir,89,University
Visvesvaraya Technological University,Belgaum,Karnataka,100,University
