Name,City,State,Rank,Category
Madurai Kamaraj University,Madurai,Tamil Nadu,94,Overall
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,95,Overall
Mumbai University,Mumbai,Maharashtra,96,Overall
Banasthali Vidyapith,Banasthali,Rajasthan,97,Overall
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,98,Overall
Indian Institute of Management Calcutta,Kolkata,West Bengal,99,Overall
Christ University,Bengaluru,Karnataka,100,Overall
"All India Institute of Medical Sciences, Patna",Patna,Bihar,101-150,Overall
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,101-150,Overall
Ashoka University,Sonepat,Haryana,101-150,Overall
Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,101-150,Overall
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,101-150,Overall
Bharati Vidyapeeth,Pune,Maharashtra,101-150,Overall
Birla Institute of Technology,Ranchi,Jharkhand,101-150,Overall
"Calicut University, Thenhipalem, Malapuram",Malappuram,Kerala,101-150,Overall
Central University of Punjab,Bathinda,Punjab,101-150,Overall
Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,101-150,Overall
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,101-150,Overall
Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,101-150,Overall
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Pantnagar,Uttarakhand,101-150,Overall
Gauhati University,Guwahati,Assam,101-150,Overall
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,101-150,Overall
Indian Institute of Science Education & Research Thiruvananthapuram,Thiruvananthapuram,Kerala,101-150,Overall
Indian Institute of Technology Palakkad,Palakkad,Kerala,101-150,Overall
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,101-150,Overall
"Jain university,Bangalore",Bengaluru,Karnataka,101-150,Overall
M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,101-150,Overall
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,101-150,Overall
Maharishi Markandeshwar,Ambala,Haryana,101-150,Overall
Maharshi Dayanand University,Rohtak,Haryana,101-150,Overall
"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,101-150,Overall
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,101-150,Overall
Mizoram University,Aizawl,Mizoram,101-150,Overall
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,101-150,Overall
National Institute of Technology Patna,Patna,Bihar,101-150,Overall
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,101-150,Overall
"National Institute of Technology, Raipur",Raipur,Chhattisgarh,101-150,Overall
Netaji Subhas University of Technology (NSUT),South West,Delhi,101-150,Overall
NITTE,Mangaluru,Karnataka,101-150,Overall
North Eastern Hill University,Shillong,Meghalaya,101-150,Overall
Periyar University,Salem,Tamil Nadu,101-150,Overall
Pondicherry University,Puducherry,Pondicherry,101-150,Overall
PSG College of Technology,Coimbatore,Tamil Nadu,101-150,Overall
Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,101-150,Overall
Sharda University,Greater Noida,Uttar Pradesh,101-150,Overall
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,101-150,Overall
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,101-150,Overall
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,101-150,Overall
Sri Venkateswara University,Tirupati,Andhra Pradesh,101-150,Overall
Tezpur University,Tezpur,Assam,101-150,Overall
The University of Burdwan,Bardhaman,West Bengal,101-150,Overall
"University of Agricultural Sciences, Bangalore",Bangalore,Karnataka,101-150,Overall
University of Jammu,Jammu,Jammu and Kashmir,101-150,Overall
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,101-150,Overall
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,101-150,Overall
Visva Bharati,Santiniketan,West Bengal,101-150,Overall
Yenepoya University,Mangaluru,Karnataka,101-150,Overall
"Acharya NG Ranga Agricultural University, Guntur",Guntur,Andhra Pradesh,151-200,Overall
Anand Agricultural University,Anand,Gujarat,151-200,Overall
Annamalai University,Annamalainagar,Tamil Nadu,151-200,Overall
Assam University-Silchar,Silchar,Assam,151-200,Overall
BLDE,Vijayapura,Karnataka,151-200,Overall
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,151-200,Overall
"Chandigarh Engineering College-CGC, Landran, Mohali",Sahibzada Ajit Singh Nagar,Punjab,151-200,Overall
Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,151-200,Overall
Chitkara  University,Rajpura,Punjab,151-200,Overall
"College of Engineering, Pune",Pune,Maharashtra,151-200,Overall
D. Y. Patil Educational Society,Kolhapur,Maharashtra,151-200,Overall
Dibrugarh University,Dibrugarh,Assam,151-200,Overall
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",Aurangabad,Maharashtra,151-200,Overall
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan",Solan,Himachal Pradesh,151-200,Overall
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,151-200,Overall
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,151-200,Overall
Hindustan Institute of Technology  and Science (HITS),Chennai,Tamil Nadu,151-200,Overall
Indira Gandhi Institute of Medical Sciences,Patna,Bihar,151-200,Overall
Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,151-200,Overall
Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,151-200,Overall
"Kalinga University, Raipur",Raipur,Chhattisgarh,151-200,Overall
Kalyani University,Kalyani,West Bengal,151-200,Overall
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,151-200,Overall
"Kerala Agricultural University, Thrissur",Thrissur,Kerala,151-200,Overall
KLE Academy of Higher Education and Research,Belagavi,Karnataka,151-200,Overall
KPR Institute of Engineering and Technology,Coimbatore,Tamil Nadu,151-200,Overall
"Krishna Vishwa Vidyapeeth, Karad, Maharashtra",Karad,Maharashtra,151-200,Overall
Kurukshetra University,Kurukshetra,Haryana,151-200,Overall
Kuvempu University,Shivamogga,Karnataka,151-200,Overall
LNCT University,Bhopal,Madhya Pradesh,151-200,Overall
Manav Rachna International Institute of Research & Studies,Faridabad,Haryana,151-200,Overall
Mangalore University,Mangalore,Karnataka,151-200,Overall
Manipal University Jaipur,Jaipur,Rajasthan,151-200,Overall
Manipur University,Imphal,Manipur,151-200,Overall
Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,151-200,Overall
Mepco Schlenk Engineering College,Sivakasi,Tamil Nadu,151-200,Overall
Nirma University,Ahmedabad,Gujarat,151-200,Overall
"Orissa University of Agriculture & Technology, Bhubaneswar",Khordha,Odisha,151-200,Overall
"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,151-200,Overall
Presidency University,Kolkata,West Bengal,151-200,Overall
"PSG INSTITUTE OF MEDICAL SCIENCES & RESEARCH (Inst. Code - 012), COIMBATORE",Coimbatore,Tamil Nadu,151-200,Overall
Rajalakshmi Engineering College,Chennai,Tamil Nadu,151-200,Overall
Sawai Man Singh Medical College,Jaipur,Rajasthan,151-200,Overall
SCB Medical College and Hospital,Cuttack,Odisha,151-200,Overall
SR University,Warangal,Telangana,151-200,Overall
Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,151-200,Overall
Tata Institute of Social Sciences,Mumbai,Maharashtra,151-200,Overall
Utkal University,Bhubaneswar,Odisha,151-200,Overall
Veer Surendra Sai University of Technology,Burla,Odisha,151-200,Overall
"VELS Institute of Science Technology & Advanced Studies (Vistas) ,Chennai",Chennai,Tamil Nadu,151-200,Overall
