Name,City,State,Rank,Category
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,98,Management
Krea University,Sri City,Andhra Pradesh,99,Management
National Institute of Technology Warangal,Warangal,Telangana,100,Management
Amity University,North Twenty Four Parganas,West Bengal,101-150,Management
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,101-150,Management
Amity University Patna,Patna,Bihar,101-150,Management
"Amity University, Jharkhand",Ranchi,Jharkhand,101-150,Management
Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development,Pune,Maharashtra,101-150,Management
"Chandigarh Business school of Administration, Landran",Sahibzada Ajit Singh Nagar,Punjab,101-150,Management
"Chandigarh School of Business, Jhanjeri",Sahibzada Ajit Singh Nagar,Punjab,101-150,Management
Chandragupt Institute of Management Patna,Patna,Bihar,101-150,Management
G. L. A. University,Mathura,Uttar Pradesh,101-150,Management
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,101-150,Management
Gujarat University,Ahmedabad,Gujarat,101-150,Management
Guru Jambheshwar University of Science and Technology,Hisar,Haryana,101-150,Management
Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,101-150,Management
IIHMR University,Jaipur,Rajasthan,101-150,Management
IILM University,Gurgaon,Haryana,101-150,Management
Institute of Public Enterprise,Hyderabad,Telangana,101-150,Management
"Jaipuria Institute of Management, Indore",Indore,Madhya Pradesh,101-150,Management
Lal Bahadur Shastri Institute of Management,Delhi,Delhi,101-150,Management
"Noida Institute of Engineering and Technology Business School, Greater Noida",Greater Noida,Uttar Pradesh,101-150,Management
Sharda University,Greater Noida,Uttar Pradesh,101-150,Management
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,101-150,Management
University of Allahabad,PRAYAGRAJ,Uttar Pradesh,101-150,Management
University of Hyderabad,Hyderabad,Telangana,101-150,Management
University of Jammu,Jammu,Jammu and Kashmir,101-150,Management
Visvesvaraya Technological University,Belgaum,Karnataka,101-150,Management
